Other_Seal_ID,Well_Report_ID,Other_Seal_Type,From,To,At
32750,12044545,Drive Shoe,null,null,61
32751,12044545,Driven,null,null,61
32752,12044546,Drive Shoe,null,null,388
32753,12044549,Shale Trap,null,null,127
32754,12044550,Shale Trap,null,null,97
32755,12044553,Shale Trap,null,null,12
32756,12044556,Shale Trap,null,null,197
32757,12044559,Drive Shoe,null,null,115
32758,12044559,Shale Trap,null,null,114.6
32759,12044560,Shale Trap,null,null,37
32760,12044561,Driven,null,null,160
32761,12044561,Shale Trap,null,null,190
32762,12044561,Shale Trap,null,null,189
32763,12044561,K-Packer,null,null,150
32764,12044564,Driven,null,null,100
32765,12044565,Drive Shoe,null,null,41.3
32766,12044566,Shale Trap,null,null,420
32767,12044567,Formation Packer,null,null,110
32768,12044568,Driven,null,null,18
32769,12044569,Driven,null,null,77
32770,12044585,Drive Shoe,null,null,95
32771,12044585,Shale Trap,null,null,94
32772,12044586,Drive Shoe,null,null,130
32773,12044586,Shale Trap,null,null,129
32774,12044587,Shale Trap,null,null,160
32775,12044587,Driven,null,null,78
32776,12044588,Shale Trap,null,null,80
32777,12044588,Driven,null,null,40
32778,12044589,K-Packer,null,null,520.05
32779,12044596,Drive Shoe,null,null,78
32780,12044597,Driven,null,null,21
32781,12044599,Driven,null,null,56
32782,12044599,Shale Trap,null,null,88
32783,12044602,Drive Shoe,null,null,194
32784,12044602,Shale Trap,null,null,193.5
32785,12044604,Drive Shoe,null,null,84
32786,12044604,Shale Trap,null,null,83.5
32787,12044605,Drive Shoe,null,null,72.5
32788,12044605,Shale Trap,null,null,72
32789,12044607,Drive Shoe,null,null,181
32790,12044612,Shale Trap,null,null,168
32791,12044618,Shale Trap,null,null,140
32792,12044618,Driven,null,null,133
32793,12044618,Drive Shoe,null,null,133
32794,12044623,Driven,null,null,60
32795,12044624,K-Packer,null,null,52
32796,12044630,Driven,null,null,75.6
32797,12044631,Shale Trap,null,null,77
32798,12044631,Shale Trap,null,null,63
32799,12044631,Driven,null,null,37
