WELL_MEASURES_ID,WELL_TEST_ID,WELL_COMPLETION_INTERVAL,CURRENT_WELL_USE,WELL_DEPTH,WELL_DEPTH_TEXT,WELL_COMPLETION_UNIT,DEPTH_UNIT,WELL_IN_PIT,CREATE_TIMESTAMP,CREATE_USERID
1179559,73,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179561,121,320ft-350ft,Domestic,122,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179563,911,46ft to 60ft,Domestic,22.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179565,2320,35.35-40.84 m,Agricultural,41.14,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179567,213,133-173 ft,Agricultural,51,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179569,2386,null,Domestic/Agricultural,45.7,null,null,metres,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179571,453,null,Domestic/Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179573,2321,null,Domestic/Agricultural,120,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179575,771,null,Domestic/Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179577,122,null,Domestic,null,null,null,null,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179579,513,null,Domestic,31.5,null,null,metres,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179581,514,null,Domestic/Agricultural,24,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179583,912,100ft - 120ft,null,33,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179585,1006,null,Domestic,48,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179587,214,140-160 FT,Domestic,91.44,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179589,16,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179591,454,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179593,375,null,Domestic/Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179595,416,null,null,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179597,2222,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179599,325,100ft-145ft,Domestic/Agricultural,48.6,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179601,77,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179603,417,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179605,658,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179607,17,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179609,913,null,Domestic,30.3,null,null,metres,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179611,2901,null,null,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179613,2322,null,Domestic/Agricultural,24,null,null,metres,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179615,659,null,Domestic/Agricultural,36,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179617,215,null,Domestic,39,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179619,78,74' to 94',Domestic,30.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179621,326,null,null,49.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179623,861,null,Domestic/Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179625,515,null,Domestic/Agricultural,123.5,null,null,metres,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179627,456,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179629,862,null,Domestic/Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179631,2324,null,Domestic/Agricultural,null,null,null,null,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179633,614,null,Domestic/Agricultural,70,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179635,217,null,Agricultural,null,null,null,null,Yes,2011-10-20T10:38:47.710Z,CONVERSION
