WELL_ID,GOA_WELL_ID,WELL_GIC_ID,WELL_GIC_ID_TEXT,LATTITUDE,LONGITUDE,LSD,SECTION,QTR,TOWNSHIP,RANGE,MERIDIAN,YEAR_WELL_DRILLED,YEAR_WELL_DRILLED_TEXT,WELL_LOCATION,LEGAL_LAND_LOCATION,ELEVATION,ELEVATION_UNITS,CREATE_TIMESTAMP,CREATE_USERID
3645,null,null,null,52.781979,-113.050232,null,7,NW,44,21,4,null,null,100 m east of house by old windmill,NW-07-044-21-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3646,null,null,null,51.620396,-113.015748,null,2,SE,31,22,4,null,1966 or 67,unknown,SE-02-031-22-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3647,null,null,null,51.711013,-112.841423,null,1,NE,31,21,4,null,1988,Alberta Eagle Drilling,NE-01-031-21-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3648,null,null,null,52.410269,-113.578083,null,5,SW,40,25,4,null,null,null,SW-05-040-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3649,null,241438,null,52.424812,-113.433731,null,8,SW,40,24,4,1994,null,near house,SW-08-040-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3650,null,41811,null,52.423391,-113.430255,null,8,SW,40,24,4,2002,null,in cattle corral,SW-08-040-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3651,null,168158,null,52.338611,-113.628702,8,11,SE,39,26,4,1992,null,east of garage on front yard,8-11-039-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3652,null,null,null,52.276891,-113.500868,null,22,SW,38,25,4,null,null,Spring 150 m east of house in pit,SW-22-038-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3653,null,166922,null,52.318374,-113.638097,2,2,SE,39,26,4,null,null,NE corner of house in back yard,2-02-039-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3654,null,null,null,52.273076,-113.491638,null,15,NE,38,25,4,1981,null,50 m SE of house,NE-15-038-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3655,null,null,null,52.36655,-113.605328,8,24,SE,39,26,4,null,null,20m southwest of house,8-24-039-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3656,null,null,null,52.361634,-113.6052,1,24,SE,39,26,4,null,null,inside house,1-24-039-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3657,null,230588,null,51.679784,-113.641133,null,28,SW,31,26,4,1971,null,30 m E of residence,SW-28-031-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3658,null,41782,null,52.345993,-113.064734,null,11,NW,39,22,4,2002,null,on lawn northwest of home,NW-11-039-22-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3659,null,null,null,52.311114,-112.847335,null,31,NE,38,20,4,2003,null,Southeast corner of hog barn,NE-31-038-20-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3660,null,292476,null,52.586796,-113.412404,null,5,SE,42,24,4,1995,null,behind shed holding pressure tank,SE-05-042-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3661,null,93836,null,52.614838,-113.409957,null,16,SW,42,24,4,1981,null,beside house on lawn,SW-16-042-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3662,null,null,null,52.635744,-113.125013,null,20,NE,42,22,4,2001,null,on lawn in front of house,NE-20-042-22-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3663,null,297966,null,52.58902,-113.388357,9,4,NE,42,24,4,2001,null,in fenced area by waterer,9-04-042-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3664,null,232653,null,52.455642,-113.50566,5,23,SW,40,25,4,1993,null,null,5-23-040-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3665,null,274279,null,52.45402,-113.509219,null,22,SE,40,25,4,1989,null,null,SE-22-040-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3666,null,null,null,52.46206,-113.515109,null,22,NE,40,25,4,2000,null,9m north of new house,NE-22-040-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3667,null,null,null,52.214045,-113.69921,null,30,NE,37,26,4,2001,null,on gravel bed beside house,NE-30-037-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3668,null,274295,null,52.462031,-113.513517,null,22,NE,40,25,4,null,null,90m east of house in shed,NE-22-040-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3669,null,null,null,52.213228,-113.696027,null,30,NE,37,26,4,2003,null,on gravel driveway behind house,NE-30-037-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3670,null,null,null,52.215459,-113.699544,null,30,NE,37,26,4,1999,null,in tall grass behind house,NE-30-037-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3671,null,null,null,52.213277,-113.69666,null,30,NE,37,26,4,2003,null,beside house on lawn,NE-30-037-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3672,null,104847,null,52.206808,-113.720187,13,7,NW,37,26,4,1989,null,15m southwest of house,13-07-037-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3673,null,null,null,51.140333,-113.520308,null,23,SE,25,26,4,null,null,Northeast of house and east of barn,SE-23-025-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3674,null,null,null,51.140177,-113.521286,null,23,SE,25,26,4,null,null,30 ft north of house,SE-23-025-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3675,null,225381,null,51.44562,-113.228908,null,6,SW,29,23,4,1986,null,null,SW-06-029-23-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
